,Target,pcd7,Large User,Total households,Population aged 65+,Females,Females aged 5-9,Females aged 65-69,Females aged 65+,Females aged 70-74,Females aged 75-79,Females aged 80-84,Females aged 85-89,Females aged 90-94,Females aged 95_99,Females aged 100+,Males,Males aged 5-9,Males aged 65-69,Males aged 65+,Males aged 70-74,Males aged 75-79,Males aged 80-84,Males aged 85-89,Males aged 90-94,Males aged 95-99,Males aged 100+,Females aged under 25,Females aged 25-44,Females aged 45-65,Males aged under 25,Males aged 25-44,Males aged 45-65,PC_Area,Mean Income,Median Income,Mode Income,Lower Quartile
0,0.0,W1K4HU,0.0,0.006172839506172839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006535947712418301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011363636363636364,0.0,W,0.3874066168623266,0.3764705882352941,0.1590909090909091,0.34798189357659604
1,0.0,W93TF,0.0,0.06790123456790123,0.013888888888888888,0.07407407407407407,0.041666666666666664,0.07142857142857142,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0784313725490196,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0625,0.075,0.03636363636363636,0.06818181818181818,0.07317073170731707,W,0.423692636072572,0.4117647058823529,0.20454545454545456,0.3765937383051115
2,0.0,SW1W9JD,0.0,0.024691358024691357,0.0,0.018518518518518517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032679738562091505,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.01818181818181818,0.0,0.07317073170731707,SW,0.7609391675560299,0.7519181585882353,1.0,0.7248782248111932
3,0.0,SW1W9QA,0.0,0.030864197530864196,0.0,0.018518518518518517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0392156862745098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019230769230769232,0.025,0.0,0.03636363636363636,0.03409090909090909,0.024390243902439025,SW,0.6467449306296692,0.6470588235294118,0.4318181818181818,0.6454722968460972
4,0.0,W1H7JD,0.0,0.037037037037037035,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0392156862745098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019230769230769232,0.05,0.025,0.01818181818181818,0.045454545454545456,0.024390243902439025,W,0.5560298826040555,0.5454545454117646,0.29545454545454547,0.5121832789553679
5,0.0,W1W6BT,0.0,0.037037037037037035,0.027777777777777776,0.037037037037037035,0.041666666666666664,0.0,0.05,0.0,0.0,0.14285714285714285,0.16666666666666666,0.0,0.0,0.0,0.013071895424836602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.05,0.0,0.011363636363636364,0.024390243902439025,W,0.5069370330843116,0.4849354376470588,0.20454545454545456,0.41999481331286265
6,0.0,W1W6DA,0.0,0.07407407407407407,0.08333333333333333,0.05555555555555555,0.0,0.07142857142857142,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0784313725490196,0.0,0.125,0.15625,0.1111111111111111,0.125,0.16666666666666666,0.0,0.1111111111111111,0.0,0.0,0.057692307692307696,0.05,0.025,0.03636363636363636,0.022727272727272728,0.07317073170731707,W,0.6350053361792957,0.6132151490588235,0.38636363636363635,0.5656639004618808
7,0.0,W1H5AZ,0.0,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026143790849673203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01818181818181818,0.03409090909090909,0.0,W,0.5101387406616862,0.5036764705882353,0.29545454545454547,0.46784232369027734
8,0.0,W1C2PT,0.0,0.006172839506172839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006535947712418301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011363636363636364,0.0,W,0.29669156883671294,0.28151260505882353,0.1590909090909091,0.2658195020967485
9,0.0,SW1Y5AD,0.0,0.05555555555555555,0.08333333333333333,0.08024691358024691,0.0,0.07142857142857142,0.075,0.08333333333333333,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.06535947712418301,0.038461538461538464,0.125,0.09375,0.1111111111111111,0.125,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.05,0.1,0.03636363636363636,0.0,0.0975609756097561,SW,0.9573105656350054,0.9658823529411765,1.0,0.9211618257444948
10,0.0,W1F7DD,0.0,0.012345679012345678,0.0,0.006172839506172839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006535947712418301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.024390243902439025,W,0.2913553895410886,0.27941176470588236,0.1590909090909091,0.263161307075781
