,pcd7,Large User,Total households,Population aged 65+,Females,Females aged 5-9,Females aged 65-69,Females aged 65+,Females aged 70-74,Females aged 75-79,Females aged 80-84,Females aged 85-89,Females aged 90-94,Females aged 95_99,Females aged 100+,Males,Males aged 5-9,Males aged 65-69,Males aged 65+,Males aged 70-74,Males aged 75-79,Males aged 80-84,Males aged 85-89,Males aged 90-94,Males aged 95-99,Males aged 100+,Females aged under 25,Females aged 25-44,Females aged 45-65,Males aged under 25,Males aged 25-44,Males aged 45-65,PC_Area,Mean Income,Median Income,Mode Income,Lower Quartile
0,W1T4JJ,0.0,0.018518518518518517,0.0,0.030864197530864196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013071895424836602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019230769230769232,0.025,0.05,0.0,0.011363636363636364,0.024390243902439025,W,0.5080042689434365,0.49754901964705883,0.29545454545454547,0.46273858925001976
1,W1K3AD,0.0,0.006172839506172839,0.013888888888888888,0.006172839506172839,0.0,0.0,0.025,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W,0.3425827107790822,0.33689839576470587,0.1590909090909091,0.31407596552813905
2,W104NG,0.0,0.12345679012345678,0.041666666666666664,0.12962962962962962,0.08333333333333333,0.0,0.05,0.0,0.1111111111111111,0.14285714285714285,0.0,0.0,0.0,0.0,0.13071895424836602,0.038461538461538464,0.0,0.03125,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.11538461538461539,0.075,0.125,0.09090909090909091,0.10227272727272728,0.0975609756097561,W,0.37566702241195304,0.34990334164705883,0.1590909090909091,0.32027483327554146
3,SW1V3PL,0.0,0.15432098765432098,0.08333333333333333,0.09259259259259259,0.0,0.0,0.075,0.08333333333333333,0.1111111111111111,0.14285714285714285,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.125,0.09375,0.1111111111111111,0.125,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.1,0.05,0.01818181818181818,0.11363636363636363,0.07317073170731707,SW,0.4994663820704376,0.4699690402352941,0.20454545454545456,0.41858535171938466
4,SW1X7NR,0.0,0.07407407407407407,0.027777777777777776,0.043209876543209874,0.041666666666666664,0.0,0.025,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0718954248366013,0.0,0.0,0.03125,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.025,0.025,0.03636363636363636,0.045454545454545456,0.0975609756097561,SW,0.5709711846318036,0.5584854631764705,0.29545454545454547,0.5251668772303043
5,W104AP,0.0,0.05555555555555555,0.041666666666666664,0.1728395061728395,0.08333333333333333,0.07142857142857142,0.075,0.08333333333333333,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.13071895424836602,0.11538461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19230769230769232,0.075,0.175,0.14545454545454545,0.045454545454545456,0.12195121951219512,W,0.5304162219850587,0.5310233682352941,0.29545454545454547,0.5250755596825789
6,NW16LE,0.0,0.22839506172839505,0.18055555555555555,0.25308641975308643,0.08333333333333333,0.14285714285714285,0.2,0.16666666666666666,0.1111111111111111,0.14285714285714285,0.16666666666666666,0.3333333333333333,0.0,0.0,0.26143790849673204,0.11538461538461539,0.125,0.15625,0.1111111111111111,0.125,0.16666666666666666,0.07692307692307693,0.0,0.0,0.0,0.1346153846153846,0.1875,0.225,0.14545454545454545,0.18181818181818182,0.1951219512195122,NW,0.5314834578441836,0.5134669251764706,0.29545454545454547,0.46528745071081223
7,W1G7BZ,0.0,0.018518518518518517,0.027777777777777776,0.018518518518518517,0.0,0.0,0.05,0.08333333333333333,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.01818181818181818,0.011363636363636364,0.024390243902439025,W,0.7534685165421559,0.7404844290588235,1.0,0.7055162315274287
8,W1G7LT,0.0,0.024691358024691357,0.0,0.024691358024691357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032679738562091505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.075,0.01818181818181818,0.022727272727272728,0.04878048780487805,W,0.928495197438634,0.960784313764706,1.0,0.9883422250197794
9,W1F7NZ,0.0,0.006172839506172839,0.013888888888888888,0.012345679012345678,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,W,0.33617929562433296,0.3208556149411765,0.1590909090909091,0.2977178423483583
